A DescrittoreStanze.java
F-GES-01.txt ModificaStanze.java
F-GES-01.txt SubStanze.java
F-GES-01.txt CancellaStanze.java
F-GES-01.txt VediStanza.java
F-GES-02.txt AggiungiBeneServizio.java
F-GES-02.txt CancellaBeniServizi.java
F-GES-02.txt InserisciBeniServizi.java
F-GES-02.txt VediBeniServizi.java
F-GES-02.txt MascheraBeneServizio.java
F-GES-02.txt ModificaBeniServizi.java
F-GES-02.txt SubBeniServizi.java
F-GES-03.txt SubStorico.java
F-GES-03.txt MascheraRicercaStorico.java
F-GES-04.txt SubGestione.java
F-GES-04.txt ConfigurazioneSistema.java
F-PRE-01.txt MascheraDisponibilita.java
F-PRE-02.txt MascheraRicercaStanza.java
F-PRE-02.txt ControllaPrenotazione.java
F-PRE-02.txt VediPrenotazione.java
F-PRE-02.txt MascheraPrenotazione.java
F-PRE-02.txt SubPrenotazione.java
F-PRE-02.txt InserisciPrenotazione.java
F-PRE-02.txt RicercaPrenotazione.java
F-PRE-03.txt PrenotazioniScadute.java
F-PRE-04.txt VediCommissione.java
F-PRE-04.txt CancellaCommissioni.java
F-PRE-04.txt MascheraCommissioni.java
F-PRE-04.txt InserisciCommissioni.java
F-PRE-04.txt ModificaCommissioni.java
F-PRE-04.txt SubCommissioni.java
F-PRE-04.txt AskChiudiSingoloConAgenzia.java
F-PRE-04.txt MascheraRicercaStanza.java
F-PRE-05.txt CancellaPrenotazione.java
F-PRE-06.txt ModificaPrenotazione.java
F-SOG-01.txt AggiungiSoggiornante.java
F-SOG-01.txt MascheraSoggiorno.java
F-SOG-01.txt InserisciSoggiornante.java
F-SOG-01.txt MascheraRicercaSoggiornante.java
F-SOG-01.txt SubSoggiorno.java
F-SOG-01.txt VediSoggiornante.java
F-SOG-01.txt VediCliente.java
F-SOG-02.txt VediAddebito.java
F-SOG-02.txt MascheraAddebiti.java
F-SOG-02.txt MascheraPerAddebitare.java
F-SOG-03.txt RicercaTelefonate.java
F-SOG-03.txt MascheraTelefonate.java
F-SOG-04.txt MascheraCalcoloConto.java
F-SOG-04.txt MascheraVisualizzazioneConto.java
F-SOG-04.txt RicercaAddebiti.java
F-SOG-04.txt AskChiudiConto.java
F-SOG-06.txt MascheraCambio.java
F-RIS-01.txt MascheraContoRistorazione.java
F-RIS-01.txt SubRistorazione.java
