R1.3.7,Analyze Incident Response Log
R1.3.1.1,Analyze Traffic Data for Incidents
R7.2.1.5,Bill Driver for Parking Lot Charges
R7.3.1.5,Bill Transit User for Transit Fare
R3.3.3,Build Automatic Collision Notification Message
R1.4.5,Calculate Forecast Demand
R1.2.5.6,Calculate Parking Lot Occupancy
R7.2.1.2,Calculate Vehicle Parking Lot Charges
R7.2.1.4,Check for Advanced Parking Lot Payment
R7.3.1.4,Check for Advanced Transit Fare Payment
R3.2.5,Check Vehicle for AHS eligibility
R1.1.1.2,Collect and Process Sensor Fault Data
R7.2.1.3,Collect Bad Charge Payment Data
R7.3.1.6,Collect Bad Transit Fare Payment Data
R1.4.2,Collect Demand Forecast Data
R1.2.8.1,Collect Indicator Fault Data
R1.1.7,Collect Vehicle Smart Probe Data
R1.1.6,Collect Vehicle Tag Data for Link Time Calculations
R3.2.3.6,Communicate with other Platoon Vehicles
R4.2.1.2,Compute Demand Responsive Transit Vehicle Availability
R4.2.1.4,Confirm Demand Responsive Transit Schedule and Route
R1.2.5.2,Coordinate Other Parking Data
R1.5.6,Detect Roadside Pollution Levels
R7.2.5,Detect Vehicle for Parking Lot Payment
R7.1.5,Detect Vehicle for Tolls
R7.2.1.10,Determine Advanced Charges
R7.3.1.2,Determine Advanced Transit Fares
R1.2.2.1,Determine Indicator State for Freeway Management
R1.2.2.2,Determine Indicator State for Road Management
R1.2.5.4,Determine P+R needs for Transit Management
R1.2.5.1,Determine Parking Lot State
R1.2.3,Determine Ramp State
R4.1.2.2,Determine Transit Vehicle Corrective Instructions
R4.1.2.1,Determine Transit Vehicle Deviation and ETA
R7.1.6,Distribute Advanced Charges and Fares
R7.2.6,Distribute Advanced Tolls and Fares
R7.3.2,Distribute Advanced Tolls and Parking Lot Charges
R1.1.5,Exchange data with Other Traffic Centers
R4.2.1.3,Generate Demand Responsive Transit Schedule and Routes
R1.1.3,Generate Predictive Traffic Model
R4.2.3.2,Generate Schedules
R4.3.3,Generate Technician Work Assignments
R4.2.3.1,Generate Transit Routes
R4.3.2,Generate Transit Vehicle Maintenance Schedules
R7.3.3,Get Transit User Image for Violation
R1.4.4,Implement Demand Management Policy
R1.2.8.2,Maintain Indicator Fault Data Store
R1.3.1.2,Maintain Static Data for Incident Management
R1.2.6.1,Maintain Traffic and Sensor Static Data
R3.2.6,Manage AHS Check-in and Check-out
R3.2.7,Manage AHS Operations
R1.1.1.4,Manage Data Collection and Monitoring
R1.2.7.3,Manage Indicator Preemptions
R1.2.5.5,Manage Parking Archive Data
R1.5.8,Manage Parking Lot Financial Processing
R1.5.8,Manage Parking Lot Financial Processing
R7.2.1.6,Manage Parking Lot Financial Processing
R7.2.1.9,Manage Parking Lot Reservations
R1.5.4,Manage Pollution State Data Store
R1.3.5,Manage Possible Predetermined Responses Store
R1.3.6,Manage Predetermined Incident Response Data
R1.3.4.5,Manage Resources for Incidents
R1.1.4.7,Manage Traffic Archive Data
R4.2.4,Manage Transit Archive Data
R7.3.1.3,Manage Transit Fare Financial Processing
R4.2.3.5,Manage Transit Operational Data Store
R4.4.1.1,Manage Transit Security
R4.1.4,Manage Transit Vehicle Deviations
R4.1.6,Manage Transit Vehicle Operations Data
R4.3.7,Manage Transit Vehicle Operations Data Store
R4.3.4,Monitor And Verify Maintenance Activity
R1.1.2.4,Monitor HOV lane use
R1.1.2.7,Monitor Reversible Lanes
