art_id	art_title	art_parent	art_content	art_type
NHIN1	Process Laboratory Order: Laboratory creates the test results and sends the results to the data repository for availability to the ordering clinician and other providers of care  if appropriate.			
NHIN2	Verify integrity of test result (file) contents and that the results came from the identified source.			
NHIN3	Authorize release of laboratory test results: Test results released to clinician based on verification as ordering clinician or provider of care status and other appropriate restrictions for use.			
NHIN4	Process Request for Laboratory Test Results: The data repository receives a request for test result content and verifies the authenticity of the clinician  the integrity of the request  and any restrictions for use.			
NHIN5	The test results should contain appropriate patient information and other information per agreed to standards and policies.			
NHIN6	Providers of care should be known.			
NHIN7	Where new results cannot be unequivocally matched with a patient  an exception list should be produced to allow human resolution			
NHIN8	View results using another clinical data system (non-EHR system): Not all clinicians will initially have an EHR to view lab test results. The clinician may view lab test results using a clinical data system (non-EHR).			
NHIN9	Send request for lab test result content to data repository(ies): The clinician selects data repository(ies) from which to retrieve lab test results and sends a request(s). The request is sent via a web application  or other clinical data system.			
NHIN10	Lab results are viewed through a web application or other clinical data system.			
NHIN11	Print lab results			
NHIN12	Save lab results in local system for viewing at a later time: This action assumes that no EHR system is available. The clinician may wish to save lab results to the local system to review at a later time. This is distinct from importing the data into the EHR.			
NHIN13	Verify correct patient identity and correctness of lab results and error correct if necessary: Upon review of the result  a clinician may see suspect data (e.g. that should be confidential  or may be erroneous). Error correction communication is a manual process.			
NHIN14	Acknowledge receipt of lab results: Upon receipt of the lab result the clinical data system sends an acknowledgement to the NHIE.			
NHIN15	Log interaction with data repository			
NHIN16	Send acknowledgment to laboratory that integrity  authenticity and completeness of results are found.			
NHIN17	Store test lab results			
NHIN18	Store lab results in data repository system and note any restrictions for use (e.g.  providers of care list  patient consent restrictions  or sensitivity restrictions).			
NHIN19	Transmit lab test results to ordering clinician and other providers of care if appropriate			
NHIN20	Log receipt and storage of lab test results			
NHIN21	Authenticate to locator service			
NHIN22	Create test results			
NHIN23	Send result location and related information to locator service. This should contain appropriate patient information and other information per agreed to standards and policies. Restrictions for use should also be provided by data repository (from laboratory) if not provided through supporting community or regional services.			
NHIN24	Log interaction with locator system			
NHIN25	methods to identify and authenticate users.			
