id,test-class,tested-class,raters
1,regexpclassnamematchertest,regexpclassnamematcher,J1;J2
2,countingoutputstreamtest,countingoutputstream,J1;J2
3,ioutilstestcase,ioutils,J1;J2
4,xmlstreamreaderutilitiestest,xmlstreamreader,J1;J2;DEV
5,xmlstreamreaderutilitiestest,xmlstreamreaderexception,J1;J2
6,filewriterwithencodingtest,filewriterwithencoding,J1;J2
7,nullreadertest,nullreader,J1;J2;DEV
8,regexfilefiltertestcase,regexfilefilter,J1;J2
9,charsequencereadertest,charsequencereader,J1;J2;DEV
10,brokeninputstreamtest,brokeninputstream,J1;J2;DEV
11,java7supporttest,java7support,J1;J2
12,namefilecomparatortest,namefilecomparator,J1;J2;DEV
13,taggedoutputstreamtest,taggedoutputstream,J1;J2;DEV
14,fileutilscleansymlinkstestcase,fileutils,J1;J2
15,fileutilstestcase,fileutils,J1;J2
16,directorywalkertestcase,directorywalker,J1;J2
17,nulloutputstreamtest,nulloutputstream,J1;J2
18,fileutilsdirectorycontainstestcase,fileutils,J1;J2
19,appendableoutputstreamtest,appendableoutputstream,DEV
20,autocloseinputstreamtest,autocloseinputstream,DEV
21,bominputstreamtest,bominputstream,DEV
22,boundedinputstreamtest,boundedinputstream,DEV
23,brokenoutputstreamtest,brokenoutputstream,DEV
24,byteordermarktestcase,byteordermark,DEV
25,charsetstestcase,charsets,DEV
26,closedinputstreamtest,closedinputstream,DEV
27,closedoutputstreamtest,closedoutputstream,DEV
28,closeshieldinputstreamtest,closeshieldinputstream,DEV
29,closeshieldoutputstreamtest,closeshieldoutputstream,DEV
30,collectionfilelistener,filealterationlistener,DEV
31,collectionfilelistener,collection,DEV
32,compositefilecomparatortest,compositefilecomparator,DEV
33,defaultfilecomparatortest,defaultfilecomparator,DEV
34,directoryfilecomparatortest,directoryfilecomparator,DEV
35,extensionfilecomparatortest,extensionfilecomparator,DEV
36,filealterationmonitortestcase,filealterationmonitor,DEV
37,filealterationobservertestcase,filealterationobserver,DEV
38,filecleaningtrackertestcase,filecleaningtracker,DEV
39,filecleaningtrackertestcase,filecleaner,DEV
40,lastmodifiedfilecomparatortest,lastmodifiedfilecomparator,DEV
41,morecomplexobjecttest,morecomplexobject,DEV
42,nullinputstreamtest,nullinputstream,DEV
43,pathfilecomparatortest,pathfilecomparator,DEV
44,proxyoutputstreamtest,proxyoutputstream,DEV
45,proxyreadertest,proxyreader,DEV
46,proxywritertest,proxywriter,DEV
47,selectoradapter,selector,DEV
48,sizefilecomparatortest,sizefilecomparator,DEV
49,stringbuilderwritertest,stringbuilderwriter,DEV
50,taggedinputstreamtest,taggedinputstream,DEV
51,taggedioexceptiontest,taggedioexception,DEV
52,tailertest,tailer,DEV
53,tailertest,tailerlistener,DEV
54,teeinputstreamtest,teeinputstream,DEV
55,threadmonitortestcase,threadmonitor,DEV
56,xmlstreamreaderutilitiescompatibilitytest,xmlstreamreader,DEV
